norm,total_count,n_variants,canonical_suggested,variants,has_accent_variant,has_unaccent_variant
algoritmls,1,1,algoritmls,algoritmls(1),False,True
ambiente,1,1,ambiente,ambiente(1),False,True
ampliarse,1,1,ampliarse,ampliarse(1),False,True
analogica,1,1,analogica,analogica(1),False,True
analogicas,1,1,analógicas,analógicas(1),True,False
anteriores,1,1,anteriores,anteriores(1),False,True
aplicadas,1,1,aplicadas,aplicadas(1),False,True
apps,1,1,apps,apps(1),False,True
aseguramiento,1,1,aseguramiento,aseguramiento(1),False,True
asignaturas,1,1,asignaturas,asignaturas(1),False,True
automaticos,1,1,automáticos,automáticos(1),True,False
automotrices,1,1,automotrices,automotrices(1),False,True
autonomo,1,1,autónomo,autónomo(1),True,False
bajo,1,1,bajo,bajo(1),False,True
banda,1,1,banda,banda(1),False,True
basicas,1,1,básicas,básicas(1),True,False
basico,1,1,básico,básico(1),True,False
bdd,1,1,bdd,bdd(1),False,True
biologia,1,1,biología,biología(1),True,False
biometrica,1,1,biométrica,biométrica(1),True,False
buisnes,1,1,buisnes,buisnes(1),False,True
calidadsisr,1,1,calidadsisr,calidadsisr(1),False,True
calo,1,1,calo,calo(1),False,True
campos,1,1,campos,campos(1),False,True
captacion,1,1,captación,captación(1),True,False
carrera,1,1,carrera,carrera(1),False,True
caso,1,1,caso,caso(1),False,True
cisco,1,1,cisco,cisco(1),False,True
cnc,1,1,cnc,cnc(1),False,True
columunas,1,1,columunas,columunas(1),False,True
combinarse,1,1,combinarse,combinarse(1),False,True
combustion,1,1,combustión,combustión(1),True,False
complejo,1,1,complejo,complejo(1),False,True
complementos,1,1,complementos,complementos(1),False,True
completacion,1,1,completación,completación(1),True,False
comprender,1,1,comprender,comprender(1),False,True
comunes,1,1,comunes,comunes(1),False,True
confiabilidad,1,1,confiabilidad,confiabilidad(1),False,True
continuan,1,1,continúan,continúan(1),True,False
contruccion,1,1,contrucción,contrucción(1),True,False
conversores,1,1,conversores,conversores(1),False,True
cosmologia,1,1,cosmología,cosmología(1),True,False
ctricas,1,1,ctricas,ctricas(1),False,True
cuanto,1,1,cuanto,cuanto(1),False,True
cuecas,1,1,cuecas,cuecas(1),False,True
cuencas,1,1,cuencas,cuencas(1),False,True
cursos,1,1,cursos,cursos(1),False,True
dada,1,1,dada,dada(1),False,True
datamining,1,1,datamining,datamining(1),False,True
deberian,1,1,deberían,deberían(1),True,False
demas,1,1,demas,demas(1),False,True
derecho,1,1,derecho,derecho(1),False,True
derivados,1,1,derivados,derivados(1),False,True
desarollo,1,1,desarollo,desarollo(1),False,True
desarrollosofftware,1,1,desarrollosofftware,desarrollosofftware(1),False,True
desicion,1,1,desición,desición(1),True,False
desorrolomovil,1,1,desorrolomovil,desorrolomovil(1),False,True
dessarrollo,1,1,dessarrollo,dessarrollo(1),False,True
deterministicos,1,1,determinísticos,determinísticos(1),True,False
diferencial,1,1,diferencial,diferencial(1),False,True
digitales,1,1,digitales,digitales(1),False,True
dinpamica,1,1,dinpamica,dinpamica(1),False,True
dinujo,1,1,dinujo,dinujo(1),False,True
directa,1,1,directa,directa(1),False,True
discretas,1,1,discretas,discretas(1),False,True
dispositivos,1,1,dispositivos,dispositivos(1),False,True
distribcucion,1,1,distribcucion,distribcucion(1),False,True
distribuci,1,1,distribuci,distribuci(1),False,True
distrubuidas,1,1,distrubuidas,distrubuidas(1),False,True
dividirla,1,1,dividirla,dividirla(1),False,True
djdj,1,1,djdj,djdj(1),False,True
durante,1,1,durante,durante(1),False,True
ecologia,1,1,ecología,ecología(1),True,False
econmetria,1,1,econmetría,econmetría(1),True,False
eia,1,1,eia,eia(1),False,True
electromagnetismo,1,1,electromagnetismo,electromagnetismo(1),False,True
electrotecnia,1,1,electrotecnia,electrotecnia(1),False,True
elipticas,1,1,elípticas,elípticas(1),True,False
end,1,1,end,end(1),False,True
energ,1,1,energ,energ(1),False,True
energeticos,1,1,energéticos,energéticos(1),True,False
enfocado,1,1,enfocado,enfocado(1),False,True
enfoque,1,1,enfoque,enfoque(1),False,True
ensenada,1,1,enseñada,enseñada(1),True,False
entera,1,1,entera,entera(1),False,True
enteros,1,1,enteros,enteros(1),False,True
equipos,1,1,equipos,equipos(1),False,True
escrita,1,1,escrita,escrita(1),False,True
especialidad,1,1,especialidad,especialidad(1),False,True
estadistico,1,1,estadístico,estadístico(1),True,False
estas,1,1,estas,estas(1),False,True
estaticos,1,1,estáticos,estáticos(1),True,False
estocastica,1,1,estocastica,estocastica(1),False,True
estocasticos,1,1,estocásticos,estocásticos(1),True,False
estratigrafia,1,1,estratigrafía,estratigrafía(1),True,False
estrcutural,1,1,estrcutural,estrcutural(1),False,True
estructurada,1,1,estructurada,estructurada(1),False,True
etc,1,1,etc,etc(1),False,True
etica,1,1,ética,ética(1),True,False
experimental,1,1,experimental,experimental(1),False,True
extendida,1,1,extendida,extendida(1),False,True
fenomenos,1,1,fenómenos,fenómenos(1),True,False
fiananzas,1,1,fiananzas,fiananzas(1),False,True
fianciero,1,1,fianciero,fianciero(1),False,True
financieros,1,1,financieros,financieros(1),False,True
fluodos,1,1,fluodos,fluodos(1),False,True
fluvial,1,1,fluvial,fluvial(1),False,True
forma,1,1,forma,forma(1),False,True
formacion,1,1,formación,formación(1),True,False
fourier,1,1,fourier,fourier(1),False,True
funcional,1,1,funcional,funcional(1),False,True
fundamentosia,1,1,fundamentosia,fundamentosia(1),False,True
geofisica,1,1,geofísica,geofísica(1),True,False
geografica,1,1,geográfica,geográfica(1),True,False
geometria,1,1,geometría,geometría(1),True,False
geomorfologia,1,1,geomorfología,geomorfología(1),True,False
geoquimica,1,1,geoquímica,geoquímica(1),True,False
gerencia,1,1,gerencia,gerencia(1),False,True
gesti,1,1,gesti,gesti(1),False,True
gestio,1,1,gestio,gestio(1),False,True
grafos,1,1,grafos,grafos(1),False,True
hamiltoniana,1,1,hamiltoniana,hamiltoniana(1),False,True
han,1,1,han,han(1),False,True
henry,1,1,henry,henry(1),False,True
herramientas,1,1,herramientas,herramientas(1),False,True
hi,1,1,hi,hi(1),False,True
hidraulicas,1,1,hidráulicas,hidráulicas(1),True,False
hidrogeologia,1,1,hidrogeología,hidrogeología(1),True,False
hidrosanitaria,1,1,hidrosanitaria,hidrosanitaria(1),False,True
hidrosanitarias,1,1,hidrosanitarias,hidrosanitarias(1),False,True
hormgion,1,1,hormgión,hormgión(1),True,False
hormigones,1,1,hormigones,hormigones(1),False,True
